FilePath,Severity,Control name,Failed resources,All Resources,Compliance score
path=2921202558/api=/v1//ConfigMap/nacos-cm,High,Applications credentials in configuration files,1,1,0
path=2870881291/api=/v1/kube-system/ServiceAccount/secrets-store-csi-driver,Medium,Automatic mapping of service account,1,1,0
path=1219920068/api=apps/v1/monitoring/Deployment/grafana,Medium,Ingress and Egress blocked,1,1,0
path=1219920068/api=apps/v1/monitoring/Deployment/grafana,Medium,Automatic mapping of service account,1,1,0
path=1819151354/api=apps/v1//Deployment/grafana-operator-controller-manager,Medium,Ingress and Egress blocked,1,1,0
path=3138247374/api=/v1/member-namespace/ServiceAccount/mongodb-enterprise-ops-manager,Medium,Automatic mapping of service account,1,1,0
path=1161816025/api=/v1//ConfigMap/credentials-sync,High,Applications credentials in configuration files,1,1,0
path=3712340858/api=/v1/kubeeye-system/ServiceAccount/kubehunter,Medium,Automatic mapping of service account,1,1,0
path=3854696018/api=apps/v1//Deployment/redis,Medium,Ingress and Egress blocked,1,1,0
path=1748091098/api=apps/v1//Deployment/cache,Medium,Ingress and Egress blocked,1,1,0
path=3882824949/api=apps/v1//Deployment/ratings-v2,Medium,Ingress and Egress blocked,1,1,0
path=3374811386/api=apps/v1//Deployment/details-v2,Medium,Ingress and Egress blocked,1,1,0
path=2200991835/api=apps/v1/flux-system/Deployment/credentials-sync-eventhub,Medium,Ingress and Egress blocked,1,1,0
path=1373648012/api=apps/v1//Deployment/argocd-repo-server,Medium,Ingress and Egress blocked,1,1,0
path=3871898338/api=apps/v1/system/Deployment/controller-manager,Medium,Ingress and Egress blocked,1,1,0
path=1910580026/api=apps/v1/metallb-system/DaemonSet/speaker,High,Applications credentials in configuration files,1,1,0
path=1910580026/api=apps/v1/metallb-system/DaemonSet/speaker,Medium,Ingress and Egress blocked,1,1,0
path=1910580026/api=apps/v1/metallb-system/DaemonSet/speaker,High,HostNetwork access,1,1,0
path=2306324272/api=apps/v1//Deployment/helloworld-v2,Medium,Ingress and Egress blocked,1,1,0
path=2310201193/api=/v1/shifu-crd-system/ServiceAccount/shifu-crd-controller-manager,Medium,Automatic mapping of service account,1,1,0
path=3121469755/api=/v1/member-namespace/ServiceAccount/mongodb-enterprise-database-pods,Medium,Automatic mapping of service account,1,1,0
path=4231516382/api=apps/v1//Deployment/details-v1,Medium,Ingress and Egress blocked,1,1,0
path=825927819/api=apps/v1//Deployment/chaos-exporter,Medium,Ingress and Egress blocked,1,1,0
path=1290795513/api=apps/v1/system/Deployment/controller-manager,Medium,Ingress and Egress blocked,1,1,0
path=1143585167/api=apps/v1//Deployment/reviews-v3,Medium,Ingress and Egress blocked,1,1,0
path=2206058065/api=/v1/monitoring/ServiceAccount/node-exporter,Medium,Automatic mapping of service account,1,1,0
path=280060477/api=apps/v1//Deployment/reviews-v2,Medium,Ingress and Egress blocked,1,1,0
path=4221462977/api=/v1/mongodb/ServiceAccount/mongodb-enterprise-ops-manager,Medium,Automatic mapping of service account,1,1,0
path=3611675144/api=apps/v1/kubeeye-system/Deployment/kubehunter,Medium,Ingress and Egress blocked,1,1,0
path=2709269033/api=apps/v1/system/Deployment/controller-manager,Medium,Ingress and Egress blocked,1,1,0
path=1396468891/api=apps/v1/kong/Deployment/proxy-kong,Medium,Ingress and Egress blocked,1,1,0
path=2795259007/api=apps/v1/kadalu/DaemonSet/kadalu-csi-nodeplugin,Medium,Ingress and Egress blocked,1,1,0
path=645103806/api=/v1/central-namespace/ServiceAccount/test-service-account,Medium,Automatic mapping of service account,1,1,0
path=1295608397/api=/v1/monitoring/ServiceAccount/prometheus-operator,Medium,Automatic mapping of service account,1,1,0
path=4102672436/api=apps/v1//Deployment/nginx,Medium,Ingress and Egress blocked,1,1,0
path=150558040/api=apps/v1//Deployment/tornado,Medium,Ingress and Egress blocked,1,1,0
path=255723170/api=apps/v1/istio-system/Deployment/grafana,High,Applications credentials in configuration files,1,1,0
path=255723170/api=apps/v1/istio-system/Deployment/grafana,Medium,Ingress and Egress blocked,1,1,0
path=255723170/api=apps/v1/istio-system/Deployment/grafana,Medium,Automatic mapping of service account,1,1,0
path=3256139235/api=/v1/system/ServiceAccount/controller-manager,Medium,Automatic mapping of service account,1,1,0
path=3034114531/api=apps/v1//DaemonSet/longhorn-nvme-cli-installation,Medium,Ingress and Egress blocked,1,1,0
path=3034114531/api=apps/v1//DaemonSet/longhorn-nvme-cli-installation,High,HostNetwork access,1,1,0
path=249101787/api=apps/v1//Deployment/tcp-echo-v2,Medium,Ingress and Egress blocked,1,1,0
path=1394800312/api=apps/v1//Deployment/httpbin,Medium,Ingress and Egress blocked,1,1,0
path=1559752544/api=apps/v1/system/Deployment/controller-manager,Medium,Ingress and Egress blocked,1,1,0
path=1300642120/api=apps/v1/system/Deployment/controller-manager,Medium,Ingress and Egress blocked,1,1,0
path=1521913206/api=/v1/kadalu/ServiceAccount/kadalu-csi-provisioner,Medium,Automatic mapping of service account,1,1,0
path=1857783659/api=apps/v1//Deployment/pgo,Medium,Ingress and Egress blocked,1,1,0
path=194667862/api=apps/v1/monitoring/Deployment/pyrra-kubernetes,Medium,Ingress and Egress blocked,1,1,0
path=810057511/api=apps/v1/monitoring/Deployment/prometheus-adapter,Medium,Ingress and Egress blocked,1,1,0
path=3132516229/api=/v1/kube-system/ServiceAccount/calico-cni-plugin,Medium,Automatic mapping of service account,1,1,0
path=4153129669/api=/v1/mongodb/ServiceAccount/mongodb-enterprise-operator,Medium,Automatic mapping of service account,1,1,0
path=3883532930/api=apps/v1//Deployment/redis,Medium,Ingress and Egress blocked,1,1,0
path=2049361887/api=apps/v1/default/Deployment/longhorn-test-minio,Medium,Ingress and Egress blocked,1,1,0
path=663187754/api=apps/v1//Deployment/reviews-v3,Medium,Ingress and Egress blocked,1,1,0
